Name,Stem,Compensation,Band_Cut_OFF,N_FFT_scale,dim_F_set,dim_T_set,Date,Repo_FileName
Instrum HQ 1,Instrumental,1.035,0,6144,3072,8,2023-03-28,UVR-MDX-NET-Inst_HQ_1.onnx
Instrum HQ 2,Instrumental,1.033,0,6144,3072,8,2023-04-10,UVR-MDX-NET-Inst_HQ_2.onnx
Instrum HQ 3,Instrumental,1.024,0,6144,3072,8,2023-06-11,UVR-MDX-NET-Inst_HQ_3.onnx
Instrum Main,Instrumental,1.025,17400,5120,2048,8,2022-12-19,UVR-MDX-NET-Inst_Main.onnx
Karaoke 2,Instrumental,1.065,17400,5120,2048,8,2023-03-20,UVR_MDXNET_KARA_2.onnx
Kim Instrum,Instrumental,1.030,17400,7680,3072,8,2023-04-26,Kim_Inst.onnx
(de-)Reverb HQ,Other,1.035,0,6144,3072,9,2023-04-13,Reverb_HQ_By_FoxJoy.onnx
Karaoke,Vocals,1.035,14600,6144,2048,8,2022-07-21,UVR_MDXNET_KARA.onnx
Kim Vocal 1,Vocals,1.043,17400,7680,3072,8,2022-12-27,Kim_Vocal_1.onnx
Kim Vocal 2,Vocals,1.0085,17400,7680,3072,8,2023-05-19,Kim_Vocal_2.onnx
Voc FT,Vocals,1.0205,0,6144,3072,8,2023-06-22,UVR-MDX-NET-Voc_FT.onnx
Vocal Main,Vocals,1.043,0,7680,3072,8,2022-07-21,UVR_MDXNET_Main.onnx
Vocal Model 9482,Vocals,1.035,0,6144,2048,8,2022-07-21,UVR_MDXNET_9482.onnx
Vocal Model 9662,Vocals,1.035,14600,6144,2048,8,2022-07-21,UVR_MDXNET_3_9662.onnx
Vocal Model 9682,Vocals,1.035,14600,6144,2048,8,2022-07-21,UVR_MDXNET_2_9682.onnx
Vocal Model 9703,Vocals,1.030,14600,6144,2048,8,2022-07-21,UVR_MDXNET_1_9703.onnx
